UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
FXI,42.35,*,FXI180824C00025000,,call,08/24/2018,08/21/2018,25,0,17.1,17.7,0,0,0.6018,1,0,-0.5847,0,FXI180824C00025000
FXI,42.35,*,FXI180824P00025000,,put,08/24/2018,08/21/2018,25,0,0,0.01,0,0,0.3803,0,0,0,0,FXI180824P00025000
FXI,42.35,*,FXI180824C00030000,,call,08/24/2018,08/21/2018,30,0,12.15,12.5,0,0,0.6018,1,0,-0.7016,0,FXI180824C00030000
FXI,42.35,*,FXI180824P00030000,,put,08/24/2018,08/21/2018,30,0,0,0.02,0,0,0.3803,0,0,0,0,FXI180824P00030000
FXI,42.35,*,FXI180824C00035500,,call,08/24/2018,08/21/2018,35.5,6.65,6.7,7.05,0,4,0.6018,0.9999,0.0002,-0.8994,0.0015,FXI180824C00035500
FXI,42.35,*,FXI180824P00035500,,put,08/24/2018,08/21/2018,35.5,0,0,0.02,0,0,0.3803,0,0,0,0,FXI180824P00035500
FXI,42.35,*,FXI180824C00036000,,call,08/24/2018,08/21/2018,36,5,6.35,6.5,0,10,0.6018,0.9997,0.0006,-1.0358,0.0041,FXI180824C00036000
FXI,42.35,*,FXI180824P00036000,,put,08/24/2018,08/21/2018,36,0.05,0,0.01,0,6,0.3803,0,0,0,0,FXI180824P00036000
FXI,42.35,*,FXI180824C00036500,,call,08/24/2018,08/21/2018,36.5,0,5.75,6,0,0,0.6018,0.9991,0.0015,-1.3471,0.0105,FXI180824C00036500
FXI,42.35,*,FXI180824P00036500,,put,08/24/2018,08/21/2018,36.5,0,0,0.02,0,0,0.3803,0,0,-0.0002,0,FXI180824P00036500
FXI,42.35,*,FXI180824C00037000,,call,08/24/2018,08/21/2018,37,0,5.35,5.5,0,0,0.6018,0.9977,0.0035,-2.0097,0.0244,FXI180824C00037000
FXI,42.35,*,FXI180824P00037000,,put,08/24/2018,08/21/2018,37,0,0,0.02,0,5,0.3803,0,0,-0.0019,0.0001,FXI180824P00037000
FXI,42.35,*,FXI180824C00037500,,call,08/24/2018,08/21/2018,37.5,0,4.85,5,0,0,0.6018,0.9947,0.0075,-3.3032,0.0517,FXI180824C00037500
FXI,42.35,*,FXI180824P00037500,,put,08/24/2018,08/21/2018,37.5,0,0,0.01,0,53,0.3803,0,0.0001,-0.0124,0.0004,FXI180824P00037500
FXI,42.35,*,FXI180824C00038000,,call,08/24/2018,08/21/2018,38,0,4.35,4.5,0,0,0.6018,0.9887,0.0146,-5.6073,0.1005,FXI180824C00038000
FXI,42.35,*,FXI180824P00038000,,put,08/24/2018,08/21/2018,38,0.02,0,0.01,0,114,0.3803,-0.0002,0.0005,-0.065,0.0022,FXI180824P00038000
FXI,42.35,*,FXI180824C00038500,,call,08/24/2018,08/21/2018,38.5,2.03,3.85,4,0,10,0.6018,0.9777,0.0261,-9.3464,0.1799,FXI180824C00038500
FXI,42.35,*,FXI180824P00038500,,put,08/24/2018,08/21/2018,38.5,0.02,0,0.01,0,43,0.3803,-0.0008,0.0021,-0.2765,0.0093,FXI180824P00038500
FXI,42.35,*,FXI180824C00039000,,call,08/24/2018,08/21/2018,39,3.28,3.35,3.5,55,72,0.6018,0.9591,0.0431,-14.8681,0.2974,FXI180824C00039000
FXI,42.35,*,FXI180824P00039000,,put,08/24/2018,08/21/2018,39,0.03,0,0.02,0,193,0.3803,-0.0032,0.0075,-0.9636,0.0325,FXI180824P00039000
