UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
UVXY,88.08,*,UVXY181228C00030000,,call,12/28/2018,12/24/2018,30,52.88,57,61.7,0,5,1.3591,0.9986,0,12.8161,0,UVXY181228C00030000
UVXY,88.08,*,UVXY181228P00030000,,put,12/28/2018,12/24/2018,30,0,0,4.9,0,0,1.1164,0,0,0,0,UVXY181228P00030000
UVXY,88.08,*,UVXY181228C00035000,,call,12/28/2018,12/24/2018,35,48.15,52,56.7,0,2,1.3591,0.9986,0,12.6836,0,UVXY181228C00035000
UVXY,88.08,*,UVXY181228P00035000,,put,12/28/2018,12/24/2018,35,0.03,0,0.02,0,118,1.1164,0,0,0,0,UVXY181228P00035000
UVXY,88.08,*,UVXY181228C00040000,,call,12/28/2018,12/24/2018,40,49,47,51.7,1,10,1.3591,0.9986,0,12.5512,0,UVXY181228C00040000
UVXY,88.08,*,UVXY181228P00040000,,put,12/28/2018,12/24/2018,40,0.02,0,0.02,0,324,1.1164,0,0,0,0,UVXY181228P00040000
UVXY,88.08,*,UVXY181228C00043000,,call,12/28/2018,12/24/2018,43,11.9,44,48.7,0,0,1.3591,0.9986,0,12.4717,0,UVXY181228C00043000
UVXY,88.08,*,UVXY181228P00043000,,put,12/28/2018,12/24/2018,43,0.02,0,4.75,0,61,1.1164,0,0,0,0,UVXY181228P00043000
UVXY,88.08,*,UVXY181228C00043500,,call,12/28/2018,12/24/2018,43.5,23.04,43.5,48.2,0,0,1.3591,0.9986,0,12.4584,0,UVXY181228C00043500
UVXY,88.08,*,UVXY181228P00043500,,put,12/28/2018,12/24/2018,43.5,0.06,0,5,0,159,1.1164,0,0,0,0,UVXY181228P00043500
UVXY,88.08,*,UVXY181228C00044000,,call,12/28/2018,12/24/2018,44,21.3,43,47.7,0,0,1.3591,0.9986,0,12.4452,0,UVXY181228C00044000
UVXY,88.08,*,UVXY181228P00044000,,put,12/28/2018,12/24/2018,44,0.04,0,0.1,0,372,1.1164,0,0,0,0,UVXY181228P00044000
UVXY,88.08,*,UVXY181228C00044500,,call,12/28/2018,12/24/2018,44.5,0,42.5,47.2,0,0,1.3591,0.9986,0,12.4318,0,UVXY181228C00044500
UVXY,88.08,*,UVXY181228P00044500,,put,12/28/2018,12/24/2018,44.5,0.05,0,1,0,4,1.1164,0,0,0,0,UVXY181228P00044500
UVXY,88.08,*,UVXY181228C00045000,,call,12/28/2018,12/24/2018,45,33.5,42.05,46.7,0,145,1.3591,0.9986,0,12.4185,0,UVXY181228C00045000
UVXY,88.08,*,UVXY181228P00045000,,put,12/28/2018,12/24/2018,45,0.03,0,0.8,0,261,1.1164,0,0,0,0,UVXY181228P00045000
