UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
FXI,42.79,*,FXI180921C00021000,,call,09/21/2018,09/20/2018,21,20,21.75,21.85,0,26,0.6514,1,0,-0.4879,0,FXI180921C00021000
FXI,42.79,*,FXI180921P00021000,,put,09/21/2018,09/20/2018,21,0.01,0,0.02,0,1,0.6015,0,0,0,0,FXI180921P00021000
FXI,42.79,*,FXI180921C00022000,,call,09/21/2018,09/20/2018,22,0,20.7,21,0,0,0.6514,1,0,-0.5111,0,FXI180921C00022000
FXI,42.79,*,FXI180921P00022000,,put,09/21/2018,09/20/2018,22,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00022000
FXI,42.79,*,FXI180921C00023000,,call,09/21/2018,09/20/2018,23,20.1,19.75,19.85,0,31,0.6514,1,0,-0.5343,0,FXI180921C00023000
FXI,42.79,*,FXI180921P00023000,,put,09/21/2018,09/20/2018,23,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00023000
FXI,42.79,*,FXI180921C00024000,,call,09/21/2018,09/20/2018,24,0,18.7,19.15,0,0,0.6514,1,0,-0.5576,0,FXI180921C00024000
FXI,42.79,*,FXI180921P00024000,,put,09/21/2018,09/20/2018,24,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00024000
FXI,42.79,*,FXI180921C00025000,,call,09/21/2018,09/20/2018,25,0,17.75,17.85,0,0,0.6514,1,0,-0.5808,0,FXI180921C00025000
FXI,42.79,*,FXI180921P00025000,,put,09/21/2018,09/20/2018,25,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00025000
FXI,42.79,*,FXI180921C00026000,,call,09/21/2018,09/20/2018,26,0,16.75,16.85,0,0,0.6514,1,0,-0.604,0,FXI180921C00026000
FXI,42.79,*,FXI180921P00026000,,put,09/21/2018,09/20/2018,26,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00026000
FXI,42.79,*,FXI180921C00027000,,call,09/21/2018,09/20/2018,27,13.35,15.75,15.85,0,14,0.6514,1,0,-0.6273,0,FXI180921C00027000
FXI,42.79,*,FXI180921P00027000,,put,09/21/2018,09/20/2018,27,0.02,0,0.02,0,5,0.6015,0,0,0,0,FXI180921P00027000
FXI,42.79,*,FXI180921C00028000,,call,09/21/2018,09/20/2018,28,0,14.75,14.9,0,0,0.6514,1,0,-0.6505,0,FXI180921C00028000
FXI,42.79,*,FXI180921P00028000,,put,09/21/2018,09/20/2018,28,0,0,0.02,0,0,0.6015,0,0,0,0,FXI180921P00028000
FXI,42.79,*,FXI180921C00029000,,call,09/21/2018,09/20/2018,29,12.55,13.75,13.85,0,101,0.6514,1,0,-0.6737,0,FXI180921C00029000
FXI,42.79,*,FXI180921P00029000,,put,09/21/2018,09/20/2018,29,0.02,0,0.02,0,44,0.6015,0,0,0,0,FXI180921P00029000
FXI,42.79,*,FXI180921C00030000,,call,09/21/2018,09/20/2018,30,10.85,12.75,12.9,0,1,0.6514,1,0,-0.697,0,FXI180921C00030000
FXI,42.79,*,FXI180921P00030000,,put,09/21/2018,09/20/2018,30,0.01,0,0.02,0,2182,0.6015,0,0,0,0,FXI180921P00030000
FXI,42.79,*,FXI180921C00031000,,call,09/21/2018,09/20/2018,31,10.05,11.75,11.9,0,79,0.6514,1,0,-0.7202,0,FXI180921C00031000
FXI,42.79,*,FXI180921P00031000,,put,09/21/2018,09/20/2018,31,0.12,0,0.02,0,9,0.6015,0,0,0,0,FXI180921P00031000
FXI,42.79,*,FXI180921C00032000,,call,09/21/2018,09/20/2018,32,0,10.75,10.9,0,0,0.6514,1,0,-0.7434,0,FXI180921C00032000
FXI,42.79,*,FXI180921P00032000,,put,09/21/2018,09/20/2018,32,0.04,0,0.02,0,20,0.6015,0,0,0,0,FXI180921P00032000
FXI,42.79,*,FXI180921C00033000,,call,09/21/2018,09/20/2018,33,7.1,9.75,9.9,0,10,0.6514,1,0,-0.7667,0,FXI180921C00033000
FXI,42.79,*,FXI180921P00033000,,put,09/21/2018,09/20/2018,33,0.01,0,0.01,0,22,0.6015,0,0,0,0,FXI180921P00033000
FXI,42.79,*,FXI180921C00034000,,call,09/21/2018,09/20/2018,34,0,8.75,8.9,0,0,0.6514,1,0,-0.7899,0,FXI180921C00034000
FXI,42.79,*,FXI180921P00034000,,put,09/21/2018,09/20/2018,34,0.01,0,0.01,0,1084,0.6015,0,0,0,0,FXI180921P00034000
FXI,42.79,*,FXI180921C00035000,,call,09/21/2018,09/20/2018,35,5.8,7.75,7.85,0,383,0.6514,1,0,-0.8131,0,FXI180921C00035000
FXI,42.79,*,FXI180921P00035000,,put,09/21/2018,09/20/2018,35,0.01,0,0.01,0,31562,0.6015,0,0,0,0,FXI180921P00035000
FXI,42.79,*,FXI180921C00035500,,call,09/21/2018,09/20/2018,35.5,6.5,7.25,7.35,0,4,0.6514,1,0,-0.8248,0,FXI180921C00035500
FXI,42.79,*,FXI180921P00035500,,put,09/21/2018,09/20/2018,35.5,0.02,0,0.01,0,20,0.6015,0,0,0,0,FXI180921P00035500
FXI,42.79,*,FXI180921C00036000,,call,09/21/2018,09/20/2018,36,4.55,6.75,6.85,0,15,0.6514,1,0,-0.8364,0,FXI180921C00036000
FXI,42.79,*,FXI180921P00036000,,put,09/21/2018,09/20/2018,36,0.01,0,0.02,0,1199,0.6015,0,0,0,0,FXI180921P00036000
FXI,42.79,*,FXI180921C00036500,,call,09/21/2018,09/20/2018,36.5,0,6.25,6.35,0,0,0.6514,1,0,-0.848,0,FXI180921C00036500
FXI,42.79,*,FXI180921P00036500,,put,09/21/2018,09/20/2018,36.5,0.05,0,0.01,0,6,0.6015,0,0,0,0,FXI180921P00036500
FXI,42.79,*,FXI180921C00037000,,call,09/21/2018,09/20/2018,37,4.9,5.75,5.85,0,26,0.6514,1,0,-0.8596,0,FXI180921C00037000
FXI,42.79,*,FXI180921P00037000,,put,09/21/2018,09/20/2018,37,0.01,0,0.01,0,16015,0.6015,0,0,0,0,FXI180921P00037000
FXI,42.79,*,FXI180921C00037500,,call,09/21/2018,09/20/2018,37.5,3.47,5.25,5.35,0,29,0.6514,1,0,-0.8712,0,FXI180921C00037500
FXI,42.79,*,FXI180921P00037500,,put,09/21/2018,09/20/2018,37.5,0.02,0,0.02,0,109,0.6015,0,0,0,0,FXI180921P00037500
FXI,42.79,*,FXI180921C00038000,,call,09/21/2018,09/20/2018,38,3.2,4.75,4.85,0,347,0.6514,1,0,-0.8828,0,FXI180921C00038000
FXI,42.79,*,FXI180921P00038000,,put,09/21/2018,09/20/2018,38,0.01,0,0.01,6,3303,0.6015,0,0,0,0,FXI180921P00038000
FXI,42.79,*,FXI180921C00038500,,call,09/21/2018,09/20/2018,38.5,2.73,4.25,4.35,0,85,0.6514,1,0,-0.8945,0,FXI180921C00038500
FXI,42.79,*,FXI180921P00038500,,put,09/21/2018,09/20/2018,38.5,0.01,0,0.02,0,1632,0.6015,0,0,0,0,FXI180921P00038500
FXI,42.79,*,FXI180921C00039000,,call,09/21/2018,09/20/2018,39,3.52,3.75,3.85,0,529,0.6514,1,0,-0.9087,0,FXI180921C00039000
FXI,42.79,*,FXI180921P00039000,,put,09/21/2018,09/20/2018,39,0.01,0,0.02,0,23821,0.6015,0,0,-0.0004,0,FXI180921P00039000
FXI,42.79,*,FXI180921C00039500,,call,09/21/2018,09/20/2018,39.5,2.14,3.25,3.35,0,34,0.6514,1,0.0001,-0.9632,0.0001,FXI180921C00039500
FXI,42.79,*,FXI180921P00039500,,put,09/21/2018,09/20/2018,39.5,0.01,0,0.01,0,2937,0.6015,0,0,-0.0101,0,FXI180921P00039500
FXI,42.79,*,FXI180921C00040000,,call,09/21/2018,09/20/2018,40,2.78,2.78,2.83,178,5152,0.6514,0.9997,0.0013,-1.4314,0.0014,FXI180921C00040000
