UnderlyingSymbol,UnderlyingPrice,Exchange,OptionSymbol,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,IV,Delta,Gamma,Theta,Vega,AKA
F,11.07,*,F180316C00002870,,call,03/16/2018,03/15/2018,2.87,0,8.15,8.25,0,0,0.5201,1,0,-0.0538,0,F180316C00002870
F,11.07,*,F180316P00002870,,put,03/16/2018,03/15/2018,2.87,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00002870
F,11.07,*,F180316C00003870,,call,03/16/2018,03/15/2018,3.87,0,7.15,7.25,0,0,0.5201,1,0,-0.0725,0,F180316C00003870
F,11.07,*,F180316P00003870,,put,03/16/2018,03/15/2018,3.87,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00003870
F,11.07,*,F180316C00004870,,call,03/16/2018,03/15/2018,4.87,5.78,6.15,6.25,0,140,0.5201,1,0,-0.0913,0,F180316C00004870
F,11.07,*,F180316P00004870,,put,03/16/2018,03/15/2018,4.87,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00004870
F,11.07,*,F180316C00005500,,call,03/16/2018,03/15/2018,5.5,0,5.5,5.65,0,0,0.5201,1,0,-0.1031,0,F180316C00005500
F,11.07,*,F180316P00005500,,put,03/16/2018,03/15/2018,5.5,0,0,0.02,0,0,0.3966,0,0,0,0,F180316P00005500
F,11.07,*,F180316C00005870,,call,03/16/2018,03/15/2018,5.87,5.2,5.15,5.25,19,17,0.5201,1,0,-0.11,0,F180316C00005870
F,11.07,*,F180316P00005870,,put,03/16/2018,03/15/2018,5.87,0.01,0,0.01,0,160,0.3966,0,0,0,0,F180316P00005870
F,11.07,*,F180316C00006000,,call,03/16/2018,03/15/2018,6,0,5,5.2,0,0,0.5201,1,0,-0.1125,0,F180316C00006000
F,11.07,*,F180316P00006000,,put,03/16/2018,03/15/2018,6,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00006000
F,11.07,*,F180316C00006500,,call,03/16/2018,03/15/2018,6.5,0,4.55,4.6,0,0,0.5201,1,0,-0.1219,0,F180316C00006500
F,11.07,*,F180316P00006500,,put,03/16/2018,03/15/2018,6.5,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00006500
F,11.07,*,F180316C00006870,,call,03/16/2018,03/15/2018,6.87,0,4.15,4.25,0,0,0.5201,1,0,-0.1288,0,F180316C00006870
F,11.07,*,F180316P00006870,,put,03/16/2018,03/15/2018,6.87,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00006870
F,11.07,*,F180316C00007000,,call,03/16/2018,03/15/2018,7,0,4.05,4.1,0,0,0.5201,1,0,-0.1312,0,F180316C00007000
F,11.07,*,F180316P00007000,,put,03/16/2018,03/15/2018,7,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00007000
F,11.07,*,F180316C00007500,,call,03/16/2018,03/15/2018,7.5,0,3.55,3.6,0,0,0.5201,1,0,-0.1406,0,F180316C00007500
F,11.07,*,F180316P00007500,,put,03/16/2018,03/15/2018,7.5,0,0,0.02,0,0,0.3966,0,0,0,0,F180316P00007500
F,11.07,*,F180316C00007870,,call,03/16/2018,03/15/2018,7.87,2.7,3.15,3.25,0,49,0.5201,1,0,-0.1475,0,F180316C00007870
F,11.07,*,F180316P00007870,,put,03/16/2018,03/15/2018,7.87,0.01,0,0.01,0,2035,0.3966,0,0,0,0,F180316P00007870
F,11.07,*,F180316C00008000,,call,03/16/2018,03/15/2018,8,2.79,3.05,3.1,0,3,0.5201,1,0,-0.15,0,F180316C00008000
F,11.07,*,F180316P00008000,,put,03/16/2018,03/15/2018,8,0,0,0.01,0,0,0.3966,0,0,0,0,F180316P00008000
F,11.07,*,F180316C00008500,,call,03/16/2018,03/15/2018,8.5,1.94,2.55,2.59,0,169,0.5201,1,0,-0.1593,0,F180316C00008500
F,11.07,*,F180316P00008500,,put,03/16/2018,03/15/2018,8.5,0.02,0,0.01,0,0,0.3966,0,0,0,0,F180316P00008500
F,11.07,*,F180316C00008870,,call,03/16/2018,03/15/2018,8.87,2.24,2.19,2.22,703,172,0.5201,1,0,-0.1663,0,F180316C00008870
F,11.07,*,F180316P00008870,,put,03/16/2018,03/15/2018,8.87,0.01,0,0.01,0,5683,0.3966,0,0,0,0,F180316P00008870
F,11.07,*,F180316C00009000,,call,03/16/2018,03/15/2018,9,2.41,2.02,2.09,0,194,0.5201,1,0,-0.1687,0,F180316C00009000
F,11.07,*,F180316P00009000,,put,03/16/2018,03/15/2018,9,0.01,0,0.01,0,4,0.3966,0,0,0,0,F180316P00009000
F,11.07,*,F180316C00009500,,call,03/16/2018,03/15/2018,9.5,1.49,1.57,1.59,6,3,0.5201,1,0,-0.1781,0,F180316C00009500
F,11.07,*,F180316P00009500,,put,03/16/2018,03/15/2018,9.5,0.02,0,0.01,0,231,0.3966,0,0,0,0,F180316P00009500
F,11.07,*,F180316C00009870,,call,03/16/2018,03/15/2018,9.87,1.21,1.2,1.22,50,2627,0.5201,1,0,-0.185,0,F180316C00009870
F,11.07,*,F180316P00009870,,put,03/16/2018,03/15/2018,9.87,0.01,0,0.01,508,25503,0.3966,0,0,0,0,F180316P00009870
F,11.07,*,F180316C00010000,,call,03/16/2018,03/15/2018,10,1.08,1.07,1.09,854,3074,0.5201,1,0,-0.1875,0,F180316C00010000
F,11.07,*,F180316P00010000,,put,03/16/2018,03/15/2018,10,0.03,0,0.01,0,3095,0.3966,0,0,0,0,F180316P00010000
F,11.07,*,F180316C00010500,,call,03/16/2018,03/15/2018,10.5,0.59,0.56,0.59,185,3227,0.5201,0.9996,0.0078,-0.3257,0.0005,F180316C00010500
